itmno,word,imagery,concreteness,meaningfulness,frequency,syl,letters,freerecall,List_Number
681,potato,6.5,7,7.13,50,3,6,0.375,1
828,supplication,2.8,2.89,4.04,3,4,12,0.281,1
666,piston,5.37,6.87,7.4,5,2,6,0.375,1
209,cradle,6.23,6.94,6.96,21,1,6,0.344,1
131,candy,6.63,6.56,6.39,32,2,5,0.5,1
96,bloom,5.63,5.82,5.12,35,1,5,0.594,1
581,moisture,5.2,6.24,6.72,21,2,8,,1
890,venom,4.23,5.62,6.4,5,2,5,0.5,1
33,amplifier,5.8,6.53,5.96,1,4,9,0.313,1
45,appliance,5.73,6.45,6.64,7,3,9,0.219,1
536,lord,4.63,4.18,6.68,100,1,4,0.75,1
464,inhabitant,4.33,6,5.33,30,4,10,0.219,1
398,habitation,4.6,6.03,5.26,7,4,10,0.469,1
388,graduation,6.03,4.28,6.28,5,4,10,0.438,1
856,tower,6.53,6.96,6.42,50,2,5,0.531,1
613,nymph,5.63,4.4,5.36,13,1,5,0.438,1
235,democracy,2.47,1.79,5.72,20,4,9,0.531,1
174,code,4.53,4.53,6.63,21,1,4,0.344,1
87,beverage,5.87,5.96,6.58,8,3,8,0.281,1
438,house,6.67,6.93,6.83,100,1,5,0.625,1
357,frontage,4.57,5.46,5.36,1,2,8,0.25,1
688,pressure,4.1,3.63,5.8,48,2,8,0.438,1
678,portrait,5.87,6.63,5.52,19,2,8,0.281,1
661,physician,6.37,6.59,5.92,43,3,9,0.469,1
879,unreality,2.1,1.18,4.92,1,5,9,0.188,1
23,alcohol,6.47,6.87,6.08,15,3,7,0.469,1
121,bullet,6.47,7,7.68,22,2,6,0.688,1
510,lark,6.2,6.83,5.84,22,1,4,0.375,1
298,equity,2.23,2.57,3.72,5,3,6,0.469,1
147,ceremony,5.37,4.58,5.17,25,4,8,0.313,1
736,river,6.63,6.83,7.52,100,2,5,0.594,1
207,courtship,5.3,3.22,6.13,4,2,9,0.344,1
323,fault,2.83,2.87,4.8,50,1,5,0.188,1
320,fantasy,3.7,2.03,5.06,4,3,7,0.281,1
354,friction,4.33,4.26,5.28,9,2,8,0.281,1
624,opium,4.6,6.44,5.88,7,2,5,0.563,1
516,lecturer,5.7,6.49,5.88,5,3,8,0.375,1
845,thorn,6.33,6.87,6.44,24,1,5,0.438,1
318,falconer,4.03,5.9,5.64,1,3,8,0.313,1
713,racketeer,5.07,6.07,5.56,5,3,9,,1
36,angle,5.5,5.19,6.24,30,2,5,0.188,1
190,connoisseur,5.2,5.31,4.28,3,3,11,0.656,1
706,pudding,6.27,6.6,7.31,17,2,7,0.563,1
366,garden,6.73,6.83,6.36,100,2,6,0.531,1
611,nursery,6.1,6.45,7.4,19,3,7,0.344,1
79,beast,5.9,6.51,6.08,50,1,5,0.375,1
217,cuisine,5.57,5.52,6.32,1,2,7,0.281,1
914,wholesaler,3.87,6.15,4.88,1,3,10,0.25,1
802,spree,4.27,2.81,5.79,2,1,5,0.125,1
815,strength,4.63,2.9,5.12,100,1,8,0.406,1
915,wife,6.53,6.52,6.48,100,1,4,0.781,1
643,party,6.27,5.5,7.08,100,2,5,0.406,1
701,property,4.87,5.99,5.76,50,3,8,0.313,1
182,committee,5.03,6.35,5.95,50,3,9,0.406,1
849,time,4.13,2.47,7,100,1,4,0.531,1
35,anger,4.87,1.7,5.83,50,2,5,0.563,1
233,dell,3.37,5.58,4.56,11,1,4,0.469,1
188,concept,1.93,1.97,3.76,3,2,7,0.344,1
476,interim,1.97,2.67,4.08,1,3,7,0.375,1
106,boulder,6.13,6.96,5.88,50,2,7,0.5,1
376,gilt,4.2,5.14,5.32,5,1,4,0.375,1
89,bivouac,3.37,5.37,5.36,1,3,7,0.813,1
2,abbess,2.97,4.78,2.48,1,2,6,0.438,1
875,underworld,4.37,4.43,5.76,5,3,10,0.5,1
57,atrocity,3.67,2.38,4.17,2,4,8,0.469,1
39,ankle,6.77,7,6.82,21,2,5,0.563,1
387,gore,4.67,4.79,5.5,7,1,4,0.438,1
518,legislation,3.33,4,5.92,23,4,11,0.281,1
32,amour,5.5,2.65,5.08,1,2,5,0.5,1
795,speakeasy,3.8,4.84,5.43,1,3,9,0.625,1
596,mule,6.6,6.96,6.12,29,1,4,0.406,1
391,gratitude,3.7,1.59,4.32,22,3,9,,1
667,plain,5.37,5.28,5.2,100,1,5,0.344,1
404,happiness,5.13,1.94,6,50,3,9,0.594,1
653,perception,3.17,2.33,5.8,7,3,10,0.281,1
